producttype;code;baseProduct;ean;"""><img src=x onerror=alert(1)>";desc;summary;thumbnail;fullsize;media;style;size;swatchcodes;swatchcolors;price;surchargetype;surchargevalue
regular;29532;;953539556;Snowboard Ski Tool Toko Side Edge Tuning Angle Pro 87 Grad;;Negative side and blade angle for professional blade tuning. The tool used by alpine World Cup pros.;https://s3.amazonaws.com/caas-demo-products/images/96Wx96H/29532_1.jpg;https://s3.amazonaws.com/caas-demo-products/images/300Wx300H/29532_1.jpg;https://s3.amazonaws.com/caas-demo-products/images/300Wx300H/29532_1.jpg,https://s3.amazonaws.com/caas-demo-products/images/96Wx96H/29532_1.jpg;;;;;21.21;;
parent;74818;;;The Rubber Re-Run;Features:<br /><br />+ custom 4 function digital movement with calendar, dual time, alarm, countdown timer and light<br />+ custom polycarbonate case with polyurethane pushers and hardened mineral crystal<br />+ custom injected silicone band with patented locking looper and polycarbonate buckle<br />+ 100 m waterproof </p>;<p> With the Rubber Re-Run from the new collection, Nixon proofs, that digital can be noble as well!;https://s3.amazonaws.com/caas-demo-products/images/96Wx96H/74818_1.jpg;https://s3.amazonaws.com/caas-demo-products/images/300Wx300H/74818_1.jpg;https://s3.amazonaws.com/caas-demo-products/images/300Wx300H/74818_1.jpg,https://s3.amazonaws.com/caas-demo-products/images/96Wx96H/74818_1.jpg;;;;;80.96;;
parent;94063;;;The 51-30;Features:<br /><br />+ 3 hand Swiss quartz movement with easy to read tide sub dial<br />+ Fast adjust button for easy setting of tide<br />+ Stainless steel case with hardened mineral crystal<br />+ External rotating bezel with countdown timer and screw crown at 9 o'clock position<br />+ Solid stainless steel band with double locking clasp<br />+ 300 m waterproof </p>;<p> The 51-30 by Nixon is a sporty watch for men and moreover for real water sports men!;https://s3.amazonaws.com/caas-demo-products/images/96Wx96H/94063_1.jpg;https://s3.amazonaws.com/caas-demo-products/images/300Wx300H/94063_1.jpg;https://s3.amazonaws.com/caas-demo-products/images/300Wx300H/94063_1.jpg,https://s3.amazonaws.com/caas-demo-products/images/96Wx96H/94063_1.jpg;;;;;404.96;;
parent;51411;;;The Iris Women;;<p> Minimalist style! Watch with japanese Quartz movment with hour, minute and second display, stainless steel case with enamelled crown and PU strap with patented closure. </p>;https://s3.amazonaws.com/caas-demo-products/images/96Wx96H/51411_1.jpg;https://s3.amazonaws.com/caas-demo-products/images/300Wx300H/51411_1.jpg;https://s3.amazonaws.com/caas-demo-products/images/300Wx300H/51411_1.jpg,https://s3.amazonaws.com/caas-demo-products/images/96Wx96H/51411_1.jpg;;;;;80.96;;
parent;74844;;;The Zona Women;Features:<br /><br />+ 3 hand Japanese quartz movement with floating disc display<br />+ custom stainless steel case with full view hardened mineral crystal<br />+ custom solid stainless steel band with jewelry clasp<br />+ 30 m waterproof </p>;<p> Stylish, fancy watch from Nixon!;https://s3.amazonaws.com/caas-demo-products/images/96Wx96H/74844_1.jpg;https://s3.amazonaws.com/caas-demo-products/images/300Wx300H/74844_1.jpg;https://s3.amazonaws.com/caas-demo-products/images/300Wx300H/74844_1.jpg,https://s3.amazonaws.com/caas-demo-products/images/96Wx96H/74844_1.jpg;;;;;137.66;;
parent;56802;;;The Chalet Women;Features:<br /><br />+ 3 hand Japanese quartz movement<br />+ custom stainless steel case with hardened mineral crystal, real walnut wood or enamel inlay (depending on the colour) and double gasket crown<br />+ custom solid stainless steel band with real walnut wood or enamel inlay (depending on the colour) and butterfly closure </p>;<p> Is it a bracelet or a watch?;https://s3.amazonaws.com/caas-demo-products/images/96Wx96H/56802_1.jpg;https://s3.amazonaws.com/caas-demo-products/images/300Wx300H/56802_1.jpg;https://s3.amazonaws.com/caas-demo-products/images/300Wx300H/56802_1.jpg,https://s3.amazonaws.com/caas-demo-products/images/96Wx96H/56802_1.jpg;;;;;202.46;;
parent;111114;;;Biarritz Women;Features:<br /><br />+ Case: Solid marine grade stainless steel case<br />+ Case Back: Solid stainless steel case back<br />+ Crystal: Reinforced mineral crystal<br />+ Movement: Japanese 3 hand quartz analogue movement<br />+ Strap: Genuine leather, 25 mm wide<br />+ Buckle: Marine grade stainless steel<br />+ Water Resistance: 5 ATM (50meters/165feet)<br />+ Warranty: 2 years </p>;<p> Stylish watch with cool Roxy design!;https://s3.amazonaws.com/caas-demo-products/images/96Wx96H/111114_1.jpg;https://s3.amazonaws.com/caas-demo-products/images/300Wx300H/111114_1.jpg;https://s3.amazonaws.com/caas-demo-products/images/300Wx300H/111114_1.jpg,https://s3.amazonaws.com/caas-demo-products/images/96Wx96H/111114_1.jpg;;;;;80.96;;
parent;115195;;;The Dial Women;Features:<br /><br />+ 3 hand Japanese quartz movement<br />+ 42 mm custom polycarbonate case with hardened mineral crystal<br />+ Molded dial with raised numbers<br />+ One piece custom injected silicone with patented locking looper and polycarbonate buckle<br />+ 50 m waterproof </p>;<p> The Nixon The Dial watch is every girl's dream!;https://s3.amazonaws.com/caas-demo-products/images/96Wx96H/115195_1.jpg;https://s3.amazonaws.com/caas-demo-products/images/300Wx300H/115195_1.jpg;https://s3.amazonaws.com/caas-demo-products/images/300Wx300H/115195_1.jpg,https://s3.amazonaws.com/caas-demo-products/images/96Wx96H/115195_1.jpg;;;;;56.66;;
parent;64389;;;The Vega Women;Features:<br /><br />+ 3 hand Japanese quartz movement<br />+ Custom polycarbonate case with hardened mineral crystal and stainless steel caseback<br />+ Custom one-size polycarbonate band with stretch </p>;<p> Flashy stretch band watch!;https://s3.amazonaws.com/caas-demo-products/images/96Wx96H/64389_1.jpg;https://s3.amazonaws.com/caas-demo-products/images/300Wx300H/64389_1.jpg;https://s3.amazonaws.com/caas-demo-products/images/300Wx300H/64389_1.jpg,https://s3.amazonaws.com/caas-demo-products/images/96Wx96H/64389_1.jpg;;;;;64.76;;
parent;100746;;;Anzere Pant Women;Features:<br /><br />+ Standard fit<br />+ Fully taped seams<br />+ Advanced lining system<br />+ Articulated knee<br />+ Shant control<br />+ Leg ventings<br />+ Inside hem zip<br />+ Boot gaiter<br />+ Magnet pocket closure </p><p>100% Polyester</p>;<p> Best of the best for all weather conditions. DC's Anzere pant for women is an amazing piece in a cool design and with cargo pockets.;https://s3.amazonaws.com/caas-demo-products/images/96Wx96H/100746_1.jpg;https://s3.amazonaws.com/caas-demo-products/images/300Wx300H/100746_1.jpg;https://s3.amazonaws.com/caas-demo-products/images/300Wx300H/100746_1.jpg,https://s3.amazonaws.com/caas-demo-products/images/96Wx96H/100746_1.jpg;;;;;113.36;;
parent;98929;;;Luna Twill Pant Women;Features:<br /><br />+ Zipper closed ventings<br />+ Adjustable waist<br />+ Zippered hem gusset<br />+ Cargo pocket<br />+ Lift up system </p><p>100% Nylon/Polyamide Micro Twill</p>;<p> The Luna Twill Pant fits easily even the most eye-catching jacket. Through the adjustable waistband, this pant fits even after a hearty meal in the cosy mountain lodge.;https://s3.amazonaws.com/caas-demo-products/images/96Wx96H/98929_1.jpg;https://s3.amazonaws.com/caas-demo-products/images/300Wx300H/98929_1.jpg;https://s3.amazonaws.com/caas-demo-products/images/300Wx300H/98929_1.jpg,https://s3.amazonaws.com/caas-demo-products/images/96Wx96H/98929_1.jpg;;;;;68.81;;
parent;115202;;;The Player;Features:<br /><br />+ 3 hand Japanese Quartz movement<br />+ stainless steel case with hardened mineral crystal<br />+ Triple gasket crown and real diamond<br />+ Solid stainless steel band with two-tone finish<br />+ double locking clasp<br /> 100m waterproof </p>;<p> The Nixon Player watch combines magnificant steel with style and diamonds! A mixture women can't resist!;https://s3.amazonaws.com/caas-demo-products/images/96Wx96H/115202_1.jpg;https://s3.amazonaws.com/caas-demo-products/images/300Wx300H/115202_1.jpg;https://s3.amazonaws.com/caas-demo-products/images/300Wx300H/115202_1.jpg,https://s3.amazonaws.com/caas-demo-products/images/96Wx96H/115202_1.jpg;;;;;210.56;;
parent;100124;;;Panorama Pants Women;Features:<br /><br />+ Fully taped seams<br />+ Moisture wicking leg ventilation<br />+ Two way inner leg ventilation<br />+ Can be zipped together with jackets for an overall/jumpsuit<br />+ Adjustable drawstring on bottom leg<br />+ Super soft Tricot lining on butt and knees<br />+ 'Harmless' PU and metal details </p><p>Polyester</p>;<p> Show everyone what a nice figure you have. Now it's even possible when you go snowboarding, with the Panorama Pants by Nikita. Super casual pants with two back pockets and two front pockets.;https://s3.amazonaws.com/caas-demo-products/images/96Wx96H/100124_1.jpg;https://s3.amazonaws.com/caas-demo-products/images/300Wx300H/100124_1.jpg;https://s3.amazonaws.com/caas-demo-products/images/300Wx300H/100124_1.jpg,https://s3.amazonaws.com/caas-demo-products/images/96Wx96H/100124_1.jpg;;;;;153.86;;
parent;95484;;;Basis Pant Women;For the Basis Pant, Hannah Teter challenged us to build a pant that would be easy to wear, and even easier on the planet. A few rounds of feedback and the result is the Basis Pantâ€”built entirely with natural and recycled materials. The proven cargo design is as classic as it gets for a look that matches any jacket in the line, and for the truly heady, thereâ€™s the Defender colorway, made with organic cotton and hemp.<br /><br />Features:<br /><br />+ 100% Recycled Taffeta Lining<br />+ Mesh-Lined Inner Thigh Vents<br />+ Includes Womenâ€™s Burton Pant Features Package:<br />+ DRYRIDE Fabrication with DWR Coating<br />+ Thigh Vents<br />+ Fully Taped Seams<br />+ Zippered, Microfleece-Lined Handwarmer Pockets<br />+ Jacket-to-Pant Interface<br />+ NEW Expandable Boot Gaiter<br />+ Integrated Waist Adjustment<br />+ Microfleece Fly and Waistband<br />+ Reinforced Hems<br />+ Ticket O-Ring<br />+ Ghetto Slits<br />+ Leg Liftsâ„¢â€”Keep Your Cuffs Scuff-Free </p>;<p> Putting a new spin on sustainable style.</p>;https://s3.amazonaws.com/caas-demo-products/images/96Wx96H/95484_1.jpg;https://s3.amazonaws.com/caas-demo-products/images/300Wx300H/95484_1.jpg;https://s3.amazonaws.com/caas-demo-products/images/300Wx300H/95484_1.jpg,https://s3.amazonaws.com/caas-demo-products/images/96Wx96H/95484_1.jpg;;;;;113.36;;
